"Ref_N","Reference"
1840,"Dickman, C. R. (1985). Effects of Photoperiod and Endogenous Control on Timing of Reproduction in the Marsupial Genus Antechinus. Journal of Zoology 206: 509-524"
1841,"Glen, A. S. (2008). Population attributes of the spotted-tailed quoll (Dasyurus maculatus) in north-eastern New South Wales. Australian Journal of Zoology, 56(2), 137-142."
1842,"Rowland, J., Hoskin, C. J., & Burnett, S. (2023). Camera‐trapping density estimates suggest critically low population sizes for the Wet Tropics subspecies of the spotted‐tailed quoll (Dasyurus maculatus gracilis). Austral Ecology, 48(2), 399-417."
1843,"Henderson, T., Fancourt, B. A., Rajaratnam, R., Vernes, K., & Ballard, G. (2021). Density estimates reveal that fragmented landscapes provide important habitat for conserving an endangered mesopredator, the spotted‐tailed quoll. Scientific Reports 12: 12688"
1844,"Lazenby, B. T., et al. (2018). Density trends and demographic signals uncover the long‐term impact of transmissible cancer in Tasmanian devils. Journal of Applied Ecology, 55(3), 1368-1379."
1845,"Bakker, A. H., Patterson, C. R., Mifsud, G., Reside, A. E., Fuller, S., & Baker, A. M. (2024). Density of a cryptic Australian small mammal: The threatened Julia Creek dunnart (Sminthopsis douglasi). Ecology and Evolution, 14(7), e11674."
1846,"Thorn, S., Maxwell, M., Ward, C., & Wayne, A. (2022). Remote sensor camera traps provide the first density estimate for the largest natural population of the numbat (Myrmecobius fasciatus). Wildlife Research, 49(6), 529-539."
1847,"Vieira, E. M., Finlayson, G. R., & Dickman, C. R. (2007). Habitat use and density of numbats (Myrmecobius fasciatus) reintroduced in an area of mallee vegetation, New South Wales. Australian Mammalogy, 29(1), 17-24."
1848,"Lim, N. T., & Ng, P. K. (2010). Population assessment methods for the Sunda Colugo Galeopterus variegatus (Mammalia: Dermoptera) in tropical forests and their viability in Singapore. Raffles Bulletin of Zoology, 58(1)."
1849,"O'Connell, M. A. (1989). Population-Dynamics of Neotropical Small Mammals in Seasonal Habitats. Journal of Mammalogy 70(3): 532-548"
1850,"Galliez, M., de Souza Leite, M., Queiroz, T. L., & dos Santos Fernandez, F. A. (2009). Ecology of the water opossum Chironectes minimus in Atlantic forest streams of southeastern Brazil. Journal of Mammalogy, 90(1), 93-103."
1851,"Cerqueira, R.,  Gentile, R.,  Fernandez, F. A. S., Dandrea, P. S. (1993). A 5-Year Population Study of an Assemblage of Small Mammals in Southeastern Brazil. Mammalia 57(4): 507-517"
1852,"Bergallo, H. D. G. (1994). Ecology of a small mammal community in an Atlantic Forest area in southeastern Brazil. Studies on Neotropical Fauna and Environment, 29(4), 197-217."
1853,"Sunquist, M. E.,  Austad, S. N., Sunquist, F. (1987). Movement Patterns and Home Range in the Common Opossum (Didelphis-Marsupialis). Journal of Mammalogy 68(1): 173-176"
1854,"Benavides, C., Arce, A., & Pacheco, L. F. (2020). Common opossum population density in an agroforestry system in Bolivia. Acta Amazonica, 50(3), 246-251."
1855,"Bernasconi, D.A., Dixon, W.C., Hamilton, M.T., Helton, J.L., Chipman, R.B., Gilbert, A.T., Beasley, J.C., Rhodes Jr, O.E. and Dharmarajan, G. (2022). Influence of landscape attributes on Virginia opossum density. The Journal of Wildlife Management, e22280."
1856,"Castro-Arellano, I., Zarza, H., & Medellin, R.A. 2000. Philander opossum. Mammalian Species 638: 1-8"
1857,"Iriarte, J. A.,  Contreras, L. C., Jaksic, F. M. (1989). A Long-Term Study of a Small-Mammal Assemblage in the Central Chilean Matorral. Journal of Mammalogy 70(1): 79-87"
1858,"Ceballos, G. (1990). Comparative Natural-History of Small Mammals from Tropical Forests in Western Mexico. Journal of Mammalogy 71(2): 263-266"
1859,"Broome, L. S. (2001). Density, home range, seasonal movements and habitat use of the mountain pygmy‐possum Burramys parvus (Marsupialia: Burramyidae) at Mount Blue Cow, Kosciuszko National Park. Austral Ecology, 26(3), 275-292."
1860,"Letnic, M., & Ripple, W. J. Large‐scale responses of herbivore prey to canid predators and primary productivity. Global Ecology and Biogeography, 26(8), 860-866"
1861,"Letnic, M., & Ripple, W. J. (2017). Large‐scale responses of herbivore prey to canid predators and primary productivity. Global ecology and biogeography, 26(8), 860-866."
1862,"Green-Barber, J. M., & Old, J. M. (2018). Town roo, country roo: a comparison of behaviour in eastern grey kangaroos Macropus giganteus in developed and natural landscapes. Australian Zoologist, 39(3), 520-533."
1863,"Southwell, C. J. (1984). Variability in grouping in the eastern grey kangaroo, Macropus giganteus I. Group density and group size. Wildlife Research, 11(3), 423-435."
1864,"Clancy, T. F., & Croft, D. B. (1992). Population dynamics of the common wallaroo (Macropus robustus erubescens) in arid New South Wales. Wildlife Research, 19(1), 1-15."
1865,"Havlin, P. A., Caravaggi, A., & Montgomery, I. The distribution and trophic ecology of an introduced, insular population of Red-Necked Wallabies, Notamacropus rufogriseus. Canadian Journal of Zoology, 96(4), 357-365"
1866,"Hayward, M. W., Paul, J., Dillon, M. J., & Fox, B. J. (2003). Local population structure of a naturally occurring metapopulation of the quokka (Setonix brachyurus Macropodidae: Marsupialia). Biological conservation, 110(3), 343-355."
1867,"Jackson, S. M. (2000). Population dynamics and life history of the mahogany glider, Petaurus gracilis, and the sugar glider, Petaurus breviceps, in north Queensland. Wildlife Research, 27(1), 21-37."
1868,"Quin, D. G. (1995). Population ecology of the squirrel glider (Petaurus norfolcensis) and the sugar glider (P. breviceps)(Maruspialia: Petauridae) at Limeburners Creek, on the central north coast of New South Wales. Wildlife Research, 22(4), 471-505."
1869,"Suckling, G. C. (1984). Population ecology of the sugar glider, Petaurus breviceps, in a system of fragmented habitats. Wildlife Research, 11(1), 49-75."
1870,"Henry, S. R. a. S., G.C. (1984). A Review of the Ecology of the Sugar Glider Possums and Gliders. ED Smith, A. a. H., I. Chipping Norton . Surrey Beatty and Sons Pty Ltd"
1871,"Sharpe, D. J., & Goldingay, R. L. (2010). Population ecology of the nectar-feeding squirrel glider (Petaurus norfolcensis) in remnant forest in subtropical Australia. Wildlife Research, 37(2), 77-88."
1872,"Repi, T., Masy'ud, B., Mustai, A.H., & Prasetyo, L.B. (2020). Population density, geographical distribution and habitat of Talaud bear cuscus (Ailurops melanotis Thomas, 1898). Biodiversitas Journal of Biological Diversity, 21(12)."
1873,"McRae, L. J., Griffin, A. S., Tuckey, K., & Hayward, M. W. (2022). The population density and trap-revealed home range of short-eared possums (Trichosurus caninus) in the Northern Tablelands, New South Wales, Australia. Australian Mammalogy, 45(1), 71–76"
1874,"Margetts, B. I., Ross, J. G., & Buckley, H. L. (2019). Measuring Home‐Range Changes Following Density Reduction of Australian Brushtail Possum.The Journal of Wildlife Management, 84(1), 185-192."
1875,"Patterson, C. R., Seddon, P. J., Wilson, D. J., & van Heezik, Y. (2021). Habitat-specific densities of urban brushtail possums. New Zealand Journal of Ecology, 45(2), 3450."
1876,"Sweetapple, P., & Nugent, G. (2018). Estimating disease survey intensity and wildlife population size from the density of survey devices: Leg-hold traps and the brushtail possum. Preventive veterinary medicine, 159, 220-226."
1877,"Davies, H. F., Rangers, T. L., Nicholson, E., & Murphy, B. P. (2021). Northern brown bandicoot (Isoodon macrourus) and common brushtail possum (Trichosurus vulpecula) density on the Tiwi Islands: insights and implications. Pacific Conservation Biology, 28(3), 224-230."
1878,"Jackson, R., Pfeiffer, D. U., Porphyre, T., Sauter-Louis, C., Corner, L. A. L., Paterson, B. M., & Morris, R. S. (2019). Ecology of a brushtail possum (Trichosurus vulpecula) population at Castlepoint in the Wairarapa, New Zealand. New Zealand Journal of Ecology, 43(2), 3375."
1879,"Witt, R. R., Beranek, C. T., Howell, L. G., Ryan, S. A., Clulow, J., Jordan, N. R., Denholm, B., & Roff, A. (2020). Real-time drone derived thermal imagery outperforms traditional survey methods for an arboreal forest mammal. PLoS One, 15(11), e0242204."
1880,"Dissanayake, R. B., Giorgi, E., Stevenson, M., Allavena, R., & Henning, J. (2021). Estimating koala density from incidental koala sightings in South‐East Queensland, Australia (1997–2013), using a self‐exciting spatio‐temporal point process model. Ecology and evolution, 11(20), 13805-13814."
1881,"Nelson, J. L., Scroggie, M. P., Durkin, L. K., Cripps, J. K., Ramsey, D. S. L., & Lumsden, L. F. (2018). Estimating the density of the Greater Glider in the Strathbogie Ranges, North East Victoria, with an assessment of coupes scheduled for timber harvesting in 2018. Arthur Rylah Institute for Environmental Research Technical Report Series No. 293. Department of Environment. Land, Water and Planning, Heidelberg, Victoria."
1882,"Mulley, B. P. (2022). Viability of an Endangered Population of Greater Gliders. BSc thesis, School of Earth, Atmospheric and Life Sciences, University of Wollongong."
1883,"Kerle, J. A., Kimmorley, C., & Old, J. M. (2013). An inland population of the common ringtail possum (Pseudocheirus peregrinus) at Black Rock Ridge, New South Wales: a preliminary ecological assessment. Australian mammalogy, 35(2), 236-240."
1884,"Swinbourne, M., Taggart, D., & Ostendorf, B. (2020). The population status of southern hairy-nosed wombats (Lasiorhinus latifrons). I. Distribution and abundance. Australian Mammalogy."
1885,"Knoblauch, W., Carver, S., Driessen, M. M., Gales, R., & Richards, S. A. (2023). Abundance and population growth estimates for bare‐nosed wombats. Ecology and Evolution, 13(9), e10465."
1886,"Jackson, D. B., Green, R. E. (2000). The importance of the introduced hedgehog (Erinaceus europaeus) as a predator of the eggs of waders (Charadrii) on machair in South Uist, Scotland. Biological Conservation 93(2): 333-348"
1887,"Young, R. P., Davison, J., Trewby, I. D., Wilson, G. J., Delahay, R. J., & Doncaster, C. P. (2006). Abundance of hedgehogs (Erinaceus europaeus) in relation to the density and distribution of badgers (Meles meles). Journal of Zoology, 269(3), 349-356."
1888,"Hubert, P., Julliard, R., Biagianti, S., & Poulle, M. L. (2011). Ecological factors driving the higher hedgehog (Erinaceus europeaus) density in an urban area compared to the adjacent rural area. Landscape and Urban Planning, 103(1), 34-43."
1889,"van Heezik, Y., Simpson, L., Patterson, C. R., Seddon, P. J., & Wilson, D. J. (2023). Spatially explicit capture-recapture estimate of hedgehog population density in exotic grassland, New Zealand. New Zealand Journal of Ecology, 47(1), 3555."
1890,"Rudd, R. L. (1980). Population density and movements of the lesser gymnure, Hylomys suillus. . Malayan Nature Journal 34(2): 111-112"
1891,"Churchfield, S. (1990). The Natural History of Shrews. Kent Christopher Helm Ltd. 178"
1892,"Yihune, M., & Bekele, A. (2012). Diversity, distribution and abundance of rodent community in the afro-alpine habitats of the Simien Mountains National Park, Ethiopia. International Journal of Zoological Research, 8(4), 137."
1893,"Chekol, T., Bekele, A., & Balakrishnan, M. (2012). Population density, biomass and habitat association of rodents and insectivores in Pawe area, northwestern Ethiopia. Tropical Ecology, 53(1), 15-24."
1894,"Linzey, A. V., Kesner, M. H. (1997). Small mammals of a woodland-savannah ecosystem in Zimbabwe.1. Density and habitat occupancy patterns. Journal of Zoology 243: 137-152"
1895,"Παπαμιχαήλ, Γ. Δ. (2007). Δομή και λειτουργία ενός τροφικού δικτύου και των μεταπληθυσμών μικρών θηλαστικών και των θηρευτών τους."
1896,"Howell, J. C. (1954). Populations and home ranges of small mammals on an overgrown field. Journal of Mammalogy, 35(2), 177-186."
1897,"Wirminghaus, J. O. , Perrin, M.R. (1993). Seasonal changes in density, demography and body composition of small mammals in a southern temperate forest. Journal of Zoology 229: 303-318"
1898,"Erlinge, S., Göransson, G., Hansson, L., Högstedt, G., Liberg, O., Nilsson, I. N., Nilsson, N., Torbjörn, v.S., Sylvén, M. (1983). Predation as a regulating factor on small rodent populations in southern Sweden. Oikos, 36-52."
1899,"Churchfield, S. (1984). An investigation of the population ecology of syntopic shrews inhabiting water-cress beds. Journal of Zoology 204(2): 229-240"
1900,"Kalinin, A. A. (2023). Population Density of Resident and Nonresident Small Forest Mammals. Biology Bulletin, 50(8), 2081-2088."
1901,"Buckner, C. H. (1969). Some aspects of the population ecology of the common shrew, Sorex araneus, Near Oxford, England. Journal of Mammalogy 50(2): 326-332"
1902,"Hansson, L. (1968). Population densities of small mammals in open field habitats in South Sweden in 1964-1967. Oikos, 53-60."
1903,"Kalinina, A. A., Kupriyanovab, I. F., & Aleksandrova, D. Y. (2020). Contributions of Resident Populations and Nonresident Activities of Small Mammals to the Results of Censuses Performed Using the Permanent Removal Method. Contemporary problems of ecology, 13(2)."
1904,"Dickman, C. R. (1980). Estimation of population density in the common shrew, Sorex araneus, from a conifer plantation. Journal of Zoology 192(4): 550-558"
1905,"Eckrich, C. A., Flaherty, E. A., & Ben-David, M. (2018). Functional and numerical responses of shrews to competition vary with mouse density. PloS one, 13(1), e0189471."
1906,"Fa, J. E., & Sanchez-Cordero, V. (1993). Small mammal population responses to fire in a Mexican high-altitude grassland. Journal of Zoology 230: 343-347"
1907,"Hartman, G. D., & Krenz, J. D. (1993). Estimating population density of moles Scalopus aquaticus using assessment lines. Acta Theriologica, 38, 305-305."
1908,"Goszczynski, J. (1983). Digging activity and estimation of the population density of moles. Acta Theriologica 28(20): 328-332"
1909,"Kundaeli, J. N. (1976). Distribution of tree hyrax (Dendrohyrax validus validus True) on Mt Kilimanjaro, Tanzania. African Journal of Ecology, 14(4), 253-264."
1910,"Barry, R. E., Chiweshe, N., & Mundy, P. J. (2015). Fluctuations in bush and rock hyrax (Hyracoidea: Procaviidae) abundances over a 13-year period in the Matopos, Zimbabwe. African Journal of Wildlife Research, 45(1), 17-27."
1911,"Barry, R., & Mundy, P. (1998). Population dynamics of two species of hyraxes in the Matobo National Park, Zimbabwe. African journal of Ecology, 36(3), 221-233."
1912,"Hoeck, H. N. (1982). Population dynamics, dispersal and genetic isolation in two species of hyrax (Heterohyrax brucei and Procavia johnstoni) on habitat islands in the Serengeti. Zeitschrift fur tierpsychologie 59(3): 177-210"
1913,"Monterrubio, C.L., Carrillo-Reyes, A., Rioja-Paradela, T. M., de la Paz Cuevas, M., Citalán, J. B., & Álvarez-Castañeda, S. T. (2014). Estado actual de conservación de liebres y conejos en categoría de riesgo en México. Informe final. Proyecto HK052. CONABIO. Mexico City, Mexico."
1914,"Villette, P., Krebs, C. J., & Jung, T. S. (2017). Evaluating camera traps as an alternative to live trapping for estimating the density of snowshoe hares (Lepus americanus) and red squirrels (Tamiasciurus hudsonicus). European journal of wildlife research, 63(1), 7."
1915,"Krebs, C. J., Boonstra, R., Nams, V., O'Donoghue, M., Hodges, K. E., & Boutin, S. (2001). Estimating snowshoe hare population density from pellet plots: a further evaluation. Canadian Journal of Zoology, 79(1), 1-4."
1916,"Mills, L. S., Griffin, P. C., Hodges, K. E., McKelvey, K.., Ruggiero, L., & Ulizio, T. (2005). Pellet count indices compared to mark‐recapture estimates for evaluating snowshoe hare density. The Journal of wildlife management, 69(3), 1053-1062."
1917,"Krebs, C. J., Gilbert, B. S., Boutin, S., & Boonstra, R. (1987). Estimation of snowshoe hare population density from turd transects. Canadian Journal of Zoology, 65(3), 565-567."
1918,"Hiraoka, S., Watanabe, H., Terazaki, Y. (1977) Use of pellet counts for estimating the density of hare (Lepus brachyurus brachyurus) populations. Journal of the Japanese Forestry Society 59(6): 200-206"
1919,"Wywialowski, A. P., & Stoddart, L. C. (1988). Estimation of jack rabbit density: methodology makes a difference. The Journal of Wildlife Management, 57-59."
1920,"Desmond, M. J. (2004). Habitat associations and co-occurrence of Chihuahuan Desert hares (Lepus californicus and L. callotis). The American midland naturalist, 151(2), 414-419."
1921,"Flux, J. E. C., Angermann, R. (1990). Chapter 4: The Hares and Jackrabbits Rabbits, Hares and Pikas: Status Survey and Conservation Action Plan. ED Chapman, J. A., Flux, J. E. C. Gland, Switzerland . IUCN"
1922,"Canova, L., Gazzola, A., Pollini, L., & Balestrieri, A. (2020). Surveillance and habitat diversity affect European brown hare (Lepus europaeus) density in protected breeding areas. European Journal of Wildlife Research, 66(4), 1-10."
1923,"Weber, D., Roth, T., & Kohli, L. (2019). Increasing brown hare (Lepus europaeus) densities in farmland without predator culling: results of a field experiment in Switzerland. European Journal of Wildlife Research, 65(5), 75."
1924,"Tapper, S. C., & Barnes, R. F. W. (1986). Influence of farming practice on the ecology of the brown hare (Lepus europaeus). Journal of applied Ecology, 39-52."
1925,"Frylestam, B. (1981). Studies on the European hare. XXXVII. Estimating by spotlight the population density of the European hare. Acta theriologica, 26(28), 419-423."
1926,"Cardarelli, E., Meriggi, A., Brangi, A., & Vidus-Rosin, A. (2011). Effects of arboriculture stands on European hare Lepus europaeus spring habitat use in an agricultural area of northern Italy. Acta theriologica, 56(3), 229-238."
1927,"Vidus Rosin, A., Montagna, A., Meriggi, A., & Serrano Perez, S. (2010). Density and habitat requirements of sympatric hares and cottontails in northern Italy. Hystrix-the Italian Journal of Mammalogy, 20(2)."
1928,"Mayer, M., & Sunde, P. (2020). The role of maize cultivation on European hare abundance. Agriculture, Ecosystems & Environment, 295, 106909."
1929,"Bertolino, S., Perrone, A., Gola, L., & Viterbi, R. (2011). Population Density and Habitat Use of the Introduced Eastern Cottontail(Sylvilagus floridanus) Compared to the Native European Hare(Lepus europaeus). Zoological Studies, 50(3), 315-326."
1930,"Ponjiger, I., Kovačević, M., Marković, V., Ristić, Z., & Lavadinović, V. (2022). Agricultural Habitat Heterogenity Impact on the European Hare (Lepus europaeus) Density in Vojvodina Region (Serbia). Pakistan Journal of Zoology, 56(3), 1315."
1931,"Sliwinski, K., Strauß, E., Jung, K., & Siebert, U. (2021). Comparison of spotlighting monitoring data of European brown hare (Lepus europaeus) relative population densities with infrared thermography in agricultural landscapes in Northern Germany. Plos one, 16(7), e0254084."
1932,"Wasilewski, M. (1991). Studies on the European hare. 42. Population dynamics of the European hare Lepus europaeus Pallas, 1778 in Central Poland. Acta Theriologica, 36(3-4), 267-274."
1933,"Schai-Braun, S. C., Ruf, T., Klansek, E., Arnold, W., & Hackländer, K. (2020). Positive effects of set-asides on European hare (Lepus europaeus) populations: Leverets benefit from an enhanced survival rate. Biological Conservation, 244, 108518."
1934,"Langbein, J., Hutchings, M. R., Harris, S., Stoate, C., Tapper, S. C., & Wray, S. (1999). Techniques for assessing the abundance of brown hares Lepus europaeus. Mammal Review, 29(2), 93-116."
1935,"Caravaggi, A., Zaccaroni, M., Riga, F., Schai‐Braun, S. C., Dick, J. T., Montgomery, W. I., & Reid, N. (2016). An invasive‐native mammalian species replacement process captured by camera trap survey random encounter models. Remote Sensing in Ecology and Conservation, 2(1), 45-58."
1936,"Wincentz Jensen, T. L. (2009). Identifying causes for population decline of brown hare (Lepus europaeus) in agricultural landscapes in Denmark. Unpublished PhD thesis, NERI, Aarhus University, Denmark."
1937,"Zellweger-Fischer, J., Kéry, M., & Pasinelli, G. (2011). Population trends of brown hares in Switzerland: The role of land-use and ecological compensation areas. Biological conservation, 144(5), 1364-1373."
1938,"Naldi, L., Greco, I., Ferretti, M., Zaccaroni, M. (2020). Density Estimates and Habitat Preferences of the European Hare (Lepus europaeus) on Mountainous Areas in Italy. Mammal Study, 45(2), 1-9."
1939,"Gorosabel, A., Bernad, L., Muñoz, S. D., & Pedrana, J. (2022). Density surface modeling of European hare in the Argentinean Pampas. Mammal Research, 67(2), 173-185."
1940,"Lorenzo, C., Rioja, T. M., Carrillo, A., & Cervantes, F. A. (2008). Population fluctuations of Lepus flavigularis (lagomorpha: leporidae) at Tehuantepec Isthmus, Oaxaca, Mexico. Acta zoológica mexicana, 24(1), 207-220."
1941,"Lázaro, C., Guzmán, J. L., Casas, F., & Sánchez García, C. (2023). Factors affecting populations of the endemic Iberian hare (Lepus granatensis) after the first myxomatosis outbreaks in Central Spain. Integrative Zoology, 18(6), 981-993."
1942,"Torres García, F. M. (2014). Dieta y densidad estacional de Lepus Insularis (bryant, 1891) en distintos ambientes del complejo insular Espíritu Santo, Baja California Sur, México. (THESIS)"
1943,"Kirk, D. A., & Bathe, G. M. (1994). Population size and home range of black-naped hares Lepus nigricollis nigricollis on Cousin Island (Seychelles, Indian Ocean). Mammalia, 58(4), 557-562."
1944,"Rehnus, M., & Bollmann, K. (2016). Non-invasive genetic population density estimation of mountain hares (Lepus timidus) in the Alps: systematic or opportunistic sampling?. European journal of wildlife research, 62(6), 737-747."
1945,"Reid, N. & Montgomery, W.I. (2010) Retrospective analysis of the Northern Ireland Irish hare Survey data from 2002-2010. Report prepared by the Natural Heritage Research Partnership, Quercus, Queen’s University Belfast for the Northern Ireland Environment Agency. Northern Ireland Environment Agency Research and Development Series No. 11/16."
1946,"Angerbjörn, A. (1986). Reproduction of mountain hares (Lepus timidus) in relation to density and physical condition. Journal of Zoology, 208(4), 559-568."
1947,"Newey, S., Bell, M., Enthoven, S., & Thirgood, S. (2003). Can distance sampling and dung plots be used to assess the density of mountain hares Lepus timidus?. Wildlife Biology, 9(3), 185-192."
1948,"Bedson, C. P., Wheeler, P. M., Reid, N., Harris, W. E., Mallon, D., Caporn, S., & Preziosi, R. (2022). Highest densities of mountain hares (Lepus timidus) associated with ecologically restored bog but not grouse moorland management. Ecology and Evolution, 12(4), e8744."
1949,"Palomares F. (2001). Comparison of three methods to estimate rabbit abundance in a mediterranean environment. Wildlife Society Bulletin, 29(2): 578-585"
1950,"Cabezas-Díaz, S., & Virgós, E. (2022). Latrine counts to estimate wild rabbit (Oryctolagus cuniculus) density as a tool for biodiversity conservation and management. Ecological Indicators, 145, 109684."
1951,"Caruso, S., & Siracusa, A. (2001). Factors affecting the abundance of wild rabbit (Oryctolagus cuniculus) in agro-ecosystems of the Mount Etna Park. Hystrix, the Italian Journal of Mammalogy, 12(1)."
1952,"Chapman, J. A., Feldhamer, G. A. (1981). Sylvilagus aquaticus. Mammalian Species 1-4"
1953,"Cerri, J., & Bertolino, S. (2019). First estimates of survival and densities of invasive alien Eastern cottontail (Sylvilagus floridanus) in Italy: a capture-recapture approach. doi: 10.31219/osf.io/3axne"
1954,"Trent, T. T., & Rongstad, O. J. (1974). Home range and survival of cottontail rabbits in southwestern Wisconsin. The Journal of Wildlife Management, 459-472."
1955,"Silvano, F., Acquarone, C., & Cucco, M. (2000). Distribution of the eastern cottontail Sylvilagus floridanus in the province of Alessandria. Hystrix, the Italian Journal of Mammalogy, 11(2)."
1956,"Chapman, J. A.,  Hockman, J. G., C., M. M. O. (1980). Sylvilagus floridanus. Mammalian Species 1-8"
1957,"Broadbooks, H. E. (1965). Ecology and Distribution of the Pikas of Washington and Alaska. American Midland Naturalist 73(2): 299-335"
1958,"Jia, Y. H., Qiu, J., Ma, C., Wang, J. Z., Wang, G. Q., & Li, F. F. (2021). A density estimation model of plateau pika (Ochotona curzoniae) supporting camera‐monitoring programs. Ecology and Evolution, 11(15), 10566-10581."
1959,"连欢欢,赵新来 & 王海春.(2023).人工智能目标识别技术对高原鼠兔定位监测的研究. 青海草业(02),8-14+20."
1960,"Rickart, E. A. (1981). Demography and Activity Patterns of Some Small Mammals from the Cape Province, South-Africa. Journal of Mammalogy 62(3): 646-649"
1961,"Fitzgibbon, C. D. (1994). The Distribution and abundance of the golden-rumped elephant-shrew Rhynchocyon chrysopygus in Kenyan coastal forests. Biological Conservation 67: 153-160"
1962,"Rathbun, G. B. (1979). Rhynchocyon chrysopygus. Mammalian Species 117: 1-4"
1963,"Franco, M., Quijano, A., & Soto-Gamboa, M. (2011). Communal nesting, activity patterns, and population characteristics in the near-threatened monito del monte, Dromiciops gliroides. Journal of Mammalogy, 92(5), 994-1004."
1964,"Fontúrbel, F. E., & Jiménez, J. E. (2009). Underestimation of abundances of the monito del monte (Dromiciops gliroides) due to a sampling artifact. Journal of Mammalogy, 90(6), 1357-1362."
1965,"Fontúrbel, F. E., Silva-Rodríguez, E. A., Cárdenas, N. H., & Jiménez, J. E. (2010). Spatial ecology of monito del monte (Dromiciops gliroides) in a fragmented landscape of southern Chile. Mammalian Biology, 75(1), 1-9."
1966,"Southgate, R.,  Palmer, C.,  Adams, M.,  Masters, P.,  Triggs, B., Woinarski, J. (1996). Population and habitat characteristics of the golden bandicoot (Isoodon auratus) on Marchinbar Island, Northern Territory. Wildlife Research 23(6): 647-664"
1967,"Thomas, L. N. (1990). Stress and population regulation in Isoodon obesulus (Shaw and Nodder)Bandicoots and Bilbies. ED Seebeck, J. H., Brown, P. R., Wallis, R. L., Kemper, C. M. Surrey Beatty and Sons, Australia . PG 335-343"
1968,"Pentland, C. (1999). Population dynamics of the southern brown bandicoot (Isoodon Obesulus) on Ellen Brook Reserve. Thesis Edith Cowan University"
1969,"Nagy, K. A.,  Bradshaw, S. D., Clay, B. T. (1991). Field metabolic rate, water flux, and food requirements of short-nosed bandicoots, Isoodon obesulus (Marsupialia: Peramelidae). Australian Journal of Zoology 39(3): 299-305"
1970,"Dufty, A. C. (1994). Habitat and spatial requirements of the eastern barred bandicoot (Perameles gunnii) at Hamilton, Victoria. Wildlife Research 21(4): 459-472"
1971,"Southgate, R. I. (1990). Distribution and abundance of the Greater Bilby Macrotis lagotis Reid (Marsupialia: Peramelidae). Bandicoots and Bilbies. ED Seebeck, J. H., Brown, P. R., Wallis, R. L., Kemper, C. M. Surrey Beatty and Sons, Australia . PG 293-302"
1972,"Hamrick, R. G., Pirgalioglu, T., Gunduz, S., & Carroll, J. P. (2005). Feral donkey Equus asinus populations on the Karpaz peninsula, Cyprus. European Journal of Wildlife Research, 51, 108-116."
1973,"Linklater, W. L., Cameron, E. Z., Stafford, K. J., & Veltman, C. J. (2000). Social and spatial structure and range use by Kaimanawa wild horses (Equus caballus: Equidae). New Zealand Journal of Ecology, 139-152."
1974,"Zero, V. H., Sundaresan, S. R., O'Brien, T. G., & Kinnaird, M. F. (2013). Monitoring an endangered savannah ungulate, Grevy's zebra Equus grevyi: choosing a method for estimating population densities. Oryx, 47(3), 410-419."
1975,"Hemami, M. R., & Momeni, M. (2013). Estimating abundance of the Endangered onager Equus hemionus onager in Qatruiyeh National Park, Iran. Oryx, 47(2), 266-272."
1976,"Li, C.,  Jiang, Z.,  Zhou, J., Zeng, Y. (2002). Distribution, numbers and conservation of Mongolian wild ass (Equus hemionus hemionus) in west Inner Mongolia. Acta Theriologica Sinica 22(1): 1-6"
1977,"张晓晨,邵长亮,葛炎,陈晨,徐文轩,杨维康.新疆卡拉麦里山有蹄类野生动物自然保护区夏季蒙古野驴适宜生境与种群数量评估[J].应用生态学报,2020,31(09):2993-3004."
1978,"Turghan, M., Ma, M., Zhang, X., Zhang, T., & Chen, Y. (2013). Current population and conservation status of the Tibetan wild ass (Equus kiang) in the Arjin mountain nature reserve, China. Pakistan J. Zool, 45(5), 1249-1255."
1979,"王鑫鑫.西藏羌塘地区藏野驴的种群调查及行为初探.2022.南京大学,MA thesis."
1980,"Abera, D., & Tekalign, W. (2020). Estimation of population size of the flagship species of Burchell's zebra (Equus quagga) in southern Great Rift Valley, Africa. Journal of Wildlife and Biodiversity, 4(4), 62-71."
1981,"Grubb, P. (1981). Equus burchelli. Mammalian Species 157: 1-9"
1982,"Regassa, R., & Yirga, S. (2013). Distribution, abundance and population status of Burchells zebra (Equus quagga) in Yabello Wildlife Sanctuary, Southern Ethiopia. Journal of Ecology and the Natural Environment, 5(3), 40-49."
1983,"Conway, A. J., Goodman, P. S. (1989). Population Characteristics and Management of Black Rhinoceros Diceros-Bicornis-Minor and White Rhinoceros Ceratotherium- Simum-Simum in Ndumu-Game-Reserve, South-Africa. Biological Conservation 47(2): 109-122"
1984,"Groves, C. P. (1972). Ceratotherium simum. Mammalian Species 8: 1-6"
1985,"Owen-Smith, R. N. (1975). The social ethology of the white rhinoceros Ceratotherium simum (Burchell, 1817). Zeitschrift fur tierpsychologie 38: 337-384"
1986,"Nowak, R. M. (1999). Walker's Mammals of the World. Baltimore. Johns Hopkins University Press"
1987,"Ouma, B. O. (2014). Population densities of eastern black rhinoceros: unravelling the controls. PhD Thesis. Wageningen University."
1988,"Okita‐Ouma, B., Gort, G., Millspaugh, J. J., & Prins, H. H. (2024). Physiological stress in eastern black rhinoceros (Diceros bicornis michaeli) as influenced by their density, climatological variables and sexes. African Journal of Ecology, 62(1), e13239."
